FirmaID,UrunTID,Miktar,AlimSayisi
2027,134490,600,1
2027,134492,700,1
5096,134492,500,1
6567,134500,1000,1
6567,134509,700,1
6567,134510,1000,1
6209,134517,700,1
2537,134537,780,1
713,134561,2200,1
4433,134561,1200,1
7091,134615,2000,1
5333,134719,1100,1
25,134725,41250,2
7094,134748,800,1
2027,134879,4400,1
6432,134961,16246,1
2007,134980,2210,1
9782,134980,500,1
6432,135029,20715,2
7094,135029,1350,1
25,135064,2100,1
6567,135082,600,1
6567,135083,500,1
9366,135150,500,1
9366,135151,500,1
39,135157,10350,1
5871,135166,3850,1
974,135204,1150,1
974,135218,1053,1
6209,135218,700,1
7091,135218,151300,61
8397,135244,1770,1
9366,135255,1000,1
7094,135262,1100,1
6372,135267,1500,1
39,135293,8200,1
6577,135296,1000,2
9186,135302,3900,1
9608,135302,1250,2
6577,135306,1950,3
7094,135308,1500,3
6577,135309,1800,3
2007,135310,1540,1
2905,135310,18000,1
6577,135310,1000,2
8725,135310,2700,1
666,135312,1300,1
6324,135313,4950,3
9608,135313,7250,2
5815,135348,500,1
6432,135395,22667,1
974,135400,2500,1
9163,135400,500,1
25,135411,3400,1
6885,135420,7750,8
39,135445,3000,1
25,135460,3600,1
25,135469,1650,1
5336,135524,1000,1
5336,135554,1000,1
2027,135558,1050,1
7963,135639,2050,1
2537,135653,1800,1
6885,135659,1700,1
6324,135705,12350,2
5012,135708,920,1
974,135710,2271,1
3331,135710,1200,2
8796,135719,500,1
4775,135776,1100,1
7963,135783,1200,1
7711,135802,800,1
2007,135808,3080,1
5336,135819,1000,1
4775,135823,2200,1
4775,135824,750,1
4775,135825,900,1
4775,135826,2150,1
67,136011,35600,2
3797,136011,1000,2
9975,136019,1000,1
2027,136020,900,1
2537,136020,2500,1
7530,136020,1000,1
5871,136023,3080,1
9206,136049,4250,5
